timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1540469364376,1404,Get,200,,Spike Test (get) 2-4,text,true,,99397,171,48,136,1403,0,1
1540469363896,1896,Get,200,,Spike Test (get) 2-16,text,true,,99397,171,48,136,1884,0,1
1540469363457,2339,Get,200,,Spike Test (get) 2-27,text,true,,99397,171,48,136,2317,0,1
1540469364000,1798,Get,200,,Spike Test (get) 2-49,text,true,,99397,171,48,136,1797,0,0
1540469365151,652,Get,200,,Spike Test (get) 2-38,text,true,,99397,171,47,135,651,0,1
1540469363536,2277,Get,200,,Spike Test (get) 2-25,text,true,,99397,171,46,134,2275,0,1
1540469363376,2441,Get,200,,Spike Test (get) 2-29,text,true,,99397,171,46,134,2439,0,1
1540469364010,1865,Get,200,,Spike Test (get) 2-48,text,true,,99397,171,45,134,1864,0,0
1540469364366,1595,Get,200,,Spike Test (get) 2-44,text,true,,99397,171,44,133,1594,0,0
1540469364368,1620,Get,200,,Spike Test (get) 2-35,text,true,,99397,171,43,132,1618,0,0
1540469363097,2919,Get,200,,Spike Test (get) 2-36,text,true,,99397,171,42,132,2903,0,0
1540469363417,2612,Get,200,,Spike Test (get) 2-28,text,true,,99397,171,41,131,2609,0,0
1540469364016,2014,Get,200,,Spike Test (get) 2-13,text,true,,99397,171,40,130,2013,0,1
1540469363969,2082,Get,200,,Spike Test (get) 2-37,text,true,,99397,171,40,130,2079,0,0
1540469365481,628,Get,200,,Spike Test (get) 2-9,text,true,,99397,171,39,129,626,0,0
1540469364994,1178,Get,200,,Spike Test (get) 2-20,text,true,,99397,171,39,130,1177,0,0
1540469363297,2909,Get,200,,Spike Test (get) 2-31,text,true,,99397,171,39,130,2888,0,1
1540469363990,2222,Get,200,,Spike Test (get) 2-45,text,true,,99397,171,38,129,2213,0,0
1540469364293,2030,Get,200,,Spike Test (get) 2-34,text,true,,99397,171,37,129,2029,0,0
1540469363777,2569,Get,200,,Spike Test (get) 2-19,text,true,,99397,171,36,128,2568,0,0
1540469363856,2512,Get,200,,Spike Test (get) 2-17,text,true,,99397,171,36,128,2511,0,1
1540469365440,1006,Get,200,,Spike Test (get) 2-32,text,true,,99397,171,36,128,1005,0,0
1540469365230,1224,Get,200,,Spike Test (get) 2-3,text,true,,99397,171,35,128,1222,0,0
1540469364978,1510,Get,200,,Spike Test (get) 2-12,text,true,,99397,171,35,128,1507,0,0
1540469365235,1264,Get,200,,Spike Test (get) 2-23,text,true,,99397,171,35,128,1262,0,0
1540469365539,979,Get,200,,Spike Test (get) 2-7,text,true,,99397,171,34,127,978,0,0
1540469363937,2627,Get,200,,Spike Test (get) 2-15,text,true,,99397,171,34,127,2626,0,0
1540469364316,2250,Get,200,,Spike Test (get) 2-39,text,true,,99397,171,34,127,2249,0,0
1540469364945,1651,Get,200,,Spike Test (get) 2-41,text,true,,99397,171,33,126,1649,0,0
1540469364457,2191,Get,200,,Spike Test (get) 2-2,text,true,,99397,171,32,126,2189,0,0
1540469364958,1749,Get,200,,Spike Test (get) 2-10,text,true,,99397,171,32,126,1748,0,0
1540469365780,959,Get,200,,Spike Test (get) 2-4,text,true,,99397,171,32,126,956,0,0
1540469364336,2498,Get,200,,Spike Test (get) 2-5,text,true,,99397,171,32,127,2497,0,1
1540469364856,2032,Get,200,,Spike Test (get) 2-22,text,true,,99397,171,32,127,2031,0,0
1540469364297,2594,Get,200,,Spike Test (get) 2-6,text,true,,99397,171,31,126,2592,0,1
1540469365576,1348,Get,200,,Spike Test (get) 2-33,text,true,,99397,171,31,127,1263,0,1
1540469363955,2972,Get,200,,Spike Test (get) 2-46,text,true,,99397,171,30,126,2970,0,0
1540469363777,3166,Get,200,,Spike Test (get) 2-30,text,true,,99397,171,29,125,3164,0,0
1540469365747,1202,Get,200,,Spike Test (get) 2-11,text,true,,99397,171,28,124,1200,0,0
1540469365238,1752,Get,200,,Spike Test (get) 2-21,text,true,,99397,171,27,123,1750,0,0
1540469366488,769,Get,200,,Spike Test (get) 2-12,text,true,,99397,171,26,124,763,0,1
1540469365796,1716,Get,200,,Spike Test (get) 2-27,text,true,,99397,171,25,125,1713,0,1
1540469365543,2055,Get,200,,Spike Test (get) 2-24,text,true,,99397,171,24,124,2052,0,0
1540469364371,3310,Get,200,,Spike Test (get) 2-42,text,true,,99397,171,23,123,3307,0,0
1540469365621,2082,Get,200,,Spike Test (get) 2-18,text,true,,99397,171,22,122,2079,0,0
1540469365175,2570,Get,200,,Spike Test (get) 2-8,text,true,,99397,171,21,121,2568,0,0
1540469366109,1640,Get,200,,Spike Test (get) 2-9,text,true,,99397,171,20,120,1638,0,0
1540469364277,3524,Get,200,,Spike Test (get) 2-43,text,true,,99397,171,19,119,3521,0,0
1540469366707,1111,Get,200,,Spike Test (get) 2-10,text,true,,99397,171,18,118,1083,0,0
1540469364901,2925,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,17,117,2923,0,1
